card_id,rank
392891,B
392890,B
392889,E
392888,P
392887,B
392886,P
392885,S
392884,B
392883,A
392882,P
392881,D
392880,E
392879,A
392878,C
392877,E
392876,G
392875,P
392874,G
392873,B
392872,D
392871,D
392870,G
392869,E
392868,E
392867,D
392866,D
392865,E
392864,G
392863,E
392862,C
392861,E
392860,D
392859,D
392858,E
392857,D
392856,B
392855,B
392854,C
392853,B
392852,B
392851,B
392850,B
392849,E
392848,D
392847,D
392846,E
392845,E
392844,B
392843,E
392842,D
392841,G
392840,E
392839,E
392838,E
392837,G
392836,E
392835,E
392834,C
392833,D
392832,E
392831,G
392830,B
392829,G
392828,G
392827,P
392826,D
392825,E
392824,X
392823,E
392822,C
392821,C
392820,D
392819,C
392818,E
392817,G
392816,G
392815,P
392814,P
392813,X
392812,S
392811,B
392810,A
392809,D
392808,E
392807,G
392806,E
392805,E
392804,D
392803,D
392802,C
392801,A
392800,B
392799,B
392798,D
392797,B
392795,B
392794,A
392793,S
392792,C
392791,S
392790,E
392789,E
392788,E
392787,B
392786,E
392785,E
392784,P
392783,B
392782,E
392781,E
392780,D
392779,P
392778,D
392777,E
392776,D
392775,B
392774,E
392773,E
392772,P
392771,C
392770,E
392769,S
392768,C
392767,A
392766,E
392765,B
392764,E
392763,D
392762,E
392761,P
392760,E
392759,D
392758,D
392757,E
392756,B
392755,G
392754,G
392753,P
392751,E
392750,E
392749,E
392748,D
392747,E
392746,A
392744,A
392743,E
392742,E
392741,C
392740,E
392739,D
392738,S
392737,C
392736,S
392735,E
392734,E
392733,D
392732,P
392731,D
392730,S
392729,B
392728,C
392727,C
392726,C
392725,C
392724,D
392723,E
392722,A
392721,E
392720,E
392719,E
392718,C
392717,D
392716,C
392715,E
392714,G
392713,D
392712,E
392711,X
392710,A
392709,E
392708,E
392707,P
392706,E
392705,B
392704,G
392703,E
392702,S
392701,D
392700,E
392699,G
392698,E
392697,G
392696,S
392695,E
392694,E
392693,P
392692,S
392691,S
392690,C
392689,A
392688,P
392687,C
392686,D
392685,D
392684,E
392683,A
392682,C
392681,P
392680,P
392679,S
392678,G
392677,A
392676,A
392675,B
392674,A
392673,C
392672,A
392671,C
392670,C
392669,C
392668,E
392667,E
392666,P
392665,C
392664,E
392663,E
392661,E
392660,P
392659,B
392658,E
392657,E
392656,P
392654,P
392653,A
392652,B
392651,S
392650,G
392649,B
392648,A
392647,E
392646,E
392645,A
392644,D
392643,G
392642,D
392641,C
392640,P
392639,C
392638,E
392637,G
392636,G
392635,E
392634,B
392633,E
392632,G
392631,P
392630,D
392629,D
392627,B
392625,G
392624,E
392622,P
392621,C
392620,E
392619,D
392618,B
392617,D
392616,G
392615,D
392614,B
392613,G
392612,C
392611,D
392610,D
392609,G
392608,D
392607,B
392606,E
392605,E
392604,D
392603,D
392602,E
392601,D
392600,E
392599,E
392598,D
392597,E
392596,B
392595,D
392594,P
392593,S
392592,G
392591,G
392590,S
392589,S
392588,P
392587,S
392586,A
392585,D
392584,S
392583,B
392582,S
392581,G
392580,S
392579,D
392578,S
392577,P
392576,P
392575,C
392574,G
392573,B
392572,D
392571,E
392570,B
392569,A
392568,B
392567,S
392566,G
392565,C
392564,C
392563,C
392562,B
392561,E
392560,E
392559,P
392558,G
392557,A
392556,G
392555,E
392554,G
392553,G
392552,E
392551,E
392550,E
392549,G
392548,E
392547,E
392546,G
392545,D
392544,G
392543,E
392542,S
392541,D
392540,C
392539,E
392538,P
392537,E
392536,E
392535,G
392534,G
392533,A
392532,G
392531,K
392530,P
392529,E
392528,E
392527,A
392526,E
392525,P
392524,E
392523,E
392522,C
392521,D
392520,E
392519,S
392518,B
392517,G
392516,G
392515,D
392514,G
392513,E
392512,E
392511,A
392510,P
392509,B
392508,C
392507,D
392506,C
392505,D
392504,S
392503,C
392502,B
392501,C
392500,E
392499,S
392498,S
392497,P
392496,D
392495,E
392494,G
392493,A
392492,E
392491,A
392490,S
392489,E
392488,C
392487,D
392486,P
392485,G
392484,E
392483,B
392482,E
392481,E
392480,B
392479,E
392478,E
392477,C
392476,P
392475,P
392474,D
392473,A
392472,A
392471,B
392470,E
392469,B
392468,P
392467,D
392466,P
392465,E
392464,D
392463,D
392462,S
392461,E
392460,A
392459,D
392458,S
392457,A
392456,S
392455,D
392454,D
392453,D
392452,D
392451,B
392450,B
392449,S
392448,G
392447,E
392446,D
392445,D
392444,P
392443,C
392442,E
392441,S
392440,P
392439,D
